Date,PaletteCompletionTimeMinutes,PaletteCompletionTimeSeconds,TotalPaletteCompletionTimeSeconds,DiffTotalPaletteCompletionTimeSeconds,TeamSize,ItemWeight,ItemDimensionsCentimeter,ItemHeightCentimeter,ItemLengthCentimeter,ItemDepthCentimeter,ItemVolumeCubiccentimeter,ItemQuantityPerPalette,PaletteNumber
2019-09-20,73,14,4394,98,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,33
2019-09-20,75,1,4501,107,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,34
2019-09-20,76,34,4594,93,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,35
2019-09-20,78,0,4680,86,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,36
2019-09-20,82,47,4967,287,5,3.04,38*33*24.5,38.00,33.00,24.50,30723.00,50,37
2019-09-20,86,24,5184,217,5,3.04,38*33*24.5,38.00,33.00,24.50,30723.00,50,38
2019-09-20,89,36,5376,192,5,3.04,38*33*24.5,38.00,33.00,24.50,30723.00,50,39
2019-09-20,93,11,5591,215,5,3.04,38*33*24.5,38.00,33.00,24.50,30723.00,50,40
2019-09-20,96,47,5807,216,5,3.04,38*33*24.5,38.00,33.00,24.50,30723.00,50,41
2019-09-20,100,5,6005,198,5,3.04,38*33*24.5,38.00,33.00,24.50,30723.00,50,42
2019-09-20,103,20,6200,195,5,3.04,38*33*24.5,38.00,33.00,24.50,30723.00,50,43
2019-09-20,107,11,6431,231,5,3.04,38*33*24.5,38.00,33.00,24.50,30723.00,50,44
2019-09-20,110,14,6614,183,5,3.04,38*33*24.5,38.00,33.00,24.50,30723.00,50,45
2019-09-20,113,43,6823,209,5,3.04,38*33*24.5,38.00,33.00,24.50,30723.00,50,46
2019-10-14,2,5,125,125,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,1
2019-10-14,5,53,353,228,4,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,2
2019-10-14,7,25,445,92,4,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,3
2019-10-14,9,15,555,110,5,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,4
2019-10-14,10,24,624,69,5,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,5
2019-10-14,12,6,726,102,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,6
2019-10-14,14,8,848,122,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,7
2019-10-14,15,50,950,102,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,8
2019-10-14,17,15,1035,85,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,9
2019-10-14,18,57,1137,102,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,10
2019-10-14,20,46,1246,109,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,11
2019-10-14,22,14,1334,88,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,12
2019-10-14,23,27,1407,73,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,13
2019-10-14,27,15,1635,228,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,14
2019-10-14,29,5,1745,110,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,15
2019-10-14,30,30,1830,85,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,16
2019-10-14,31,45,1905,75,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,17
2019-10-14,34,20,2060,155,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,18
2019-10-14,35,17,2117,57,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,19
2019-10-14,37,45,2265,148,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,20
2019-10-14,39,50,2390,125,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,21
2019-10-14,43,5,2585,195,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,22
2019-10-14,45,40,2740,155,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,23
2019-10-14,46,15,2775,35,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,24
2019-10-14,48,45,2925,150,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,25
2019-10-14,50,20,3020,95,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,26
2019-10-14,52,13,3133,113,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,27
2019-10-14,59,20,3560,427,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,28
2019-10-14,64,30,3870,310,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,29
2019-10-14,66,5,3965,95,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,30
2019-10-14,68,45,4125,160,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,31
2019-10-14,70,51,4251,126,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,32
2019-10-14,71,49,4309,58,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,33
2019-10-14,73,57,4437,128,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,34
2019-10-14,74,10,4450,13,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,35
2019-10-14,76,13,4573,123,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,36
2019-10-14,77,22,4642,69,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,37
2019-10-14,78,28,4708,66,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,38
2019-10-14,80,30,4830,122,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,39
2019-10-14,81,35,4895,65,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,40
2019-10-14,83,27,5007,112,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,41
2019-10-14,84,8,5048,41,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,42
2019-10-14,86,5,5165,117,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,43
2019-10-14,86,49,5209,44,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,44
2019-10-14,87,45,5265,56,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,45
2019-10-14,88,51,5331,66,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,46
2019-10-14,90,27,5427,96,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,47
2019-10-14,91,2,5462,35,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,48
2019-10-14,92,53,5573,111,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,49
2019-10-14,93,45,5625,52,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,50
2019-10-14,95,11,5711,86,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,51
2019-10-14,97,2,5822,111,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,52
2019-10-14,97,7,5827,5,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,53
2019-10-14,99,33,5973,146,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,54
2019-10-14,100,38,6038,65,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,55
2019-10-14,102,8,6128,90,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,56
2019-10-14,103,30,6210,82,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,57
2019-10-14,104,10,6250,40,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,58
2019-10-14,105,5,6305,55,6,8.84,30*55*52,30.00,55.00,52.00,85800.00,14,59
2019-10-01,1,30,90,90,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,1
2019-10-01,3,20,200,110,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,2
2019-10-01,5,11,311,111,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,3
2019-10-01,6,45,405,94,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,4
2019-10-01,8,50,530,125,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,5
2019-10-01,10,45,645,115,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,6
2019-10-01,12,7,727,82,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,7
2019-10-01,14,24,864,137,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,8
2019-10-01,15,25,925,61,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,9
2019-10-01,17,47,1067,142,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,10
2019-10-01,18,27,1107,40,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,11
2019-10-01,21,1,1261,154,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,12
2019-10-01,21,31,1291,30,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,13
2019-10-01,23,51,1431,140,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,14
2019-10-01,24,51,1491,60,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,15
2019-10-01,28,0,1680,189,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,16
2019-10-01,30,13,1813,133,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,17
2019-10-01,36,35,2195,382,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,18
2019-10-01,38,40,2320,125,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,19
2019-10-01,38,45,2325,5,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,20
2019-10-01,43,13,2593,268,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,21
2019-10-01,44,17,2657,64,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,22
2019-10-01,48,30,2910,253,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,23
2019-10-01,49,20,2960,50,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,24
2019-10-01,53,3,3183,223,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,25
2019-10-01,54,4,3244,61,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,26
2019-10-01,56,5,3365,121,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,27
2019-10-01,59,50,3590,225,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,28
2019-10-01,62,42,3762,172,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,29
2019-10-01,64,34,3874,112,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,30
2019-10-01,66,53,4013,139,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,31
2019-10-01,68,11,4091,78,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,32
2019-10-01,70,21,4221,130,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,33
2019-10-01,71,26,4286,65,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,34
2019-10-01,74,23,4463,177,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,35
2019-10-01,77,26,4646,183,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,36
2019-10-01,78,8,4688,42,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,37
2019-10-01,82,12,4932,244,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,38
2019-10-01,82,17,4937,5,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,39
2019-10-01,85,0,5100,163,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,40
2019-10-01,85,20,5120,20,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,41
2019-10-01,89,35,5375,255,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,42
2019-10-01,89,45,5385,10,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,43
2019-09-10,3,0,180,180,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,1
2019-09-10,5,25,325,145,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,2
2019-09-10,7,30,450,125,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,3
2019-09-10,11,0,660,210,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,4
2019-09-10,11,43,703,43,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,5
2019-09-10,15,40,940,237,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,6
2019-09-10,16,22,982,42,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,7
2019-09-10,18,49,1129,147,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,8
2019-09-10,20,29,1229,100,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,9
2019-09-10,22,15,1335,106,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,10
2019-09-10,25,5,1505,170,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,11
2019-09-10,26,17,1577,72,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,12
2019-09-10,28,34,1714,137,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,13
2019-09-10,30,5,1805,91,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,14
2019-09-10,32,45,1965,160,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,15
2019-09-10,33,43,2023,58,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,16
2019-09-10,37,40,2260,237,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,17
2019-09-10,38,38,2318,58,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,18
2019-09-10,43,0,2580,262,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,19
2019-09-10,44,25,2665,85,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,20
2019-09-10,48,30,2910,245,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,21
2019-09-10,48,40,2920,10,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,22
2019-09-10,52,50,3170,250,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,23
2019-09-10,53,10,3190,20,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,24
2019-09-10,56,20,3380,190,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,25
2019-09-10,56,35,3395,15,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,26
2019-09-10,60,10,3610,215,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,27
2019-09-10,61,25,3685,75,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,28
2019-09-10,62,24,3744,59,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,29
2019-09-10,63,50,3830,86,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,30
2019-09-10,69,2,4142,312,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,31
2019-09-10,69,50,4190,48,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,32
2019-09-10,73,11,4391,201,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,33
2019-09-10,75,20,4520,129,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,34
2019-09-10,76,7,4567,47,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,35
2019-09-10,79,10,4750,183,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,36
2019-09-10,79,40,4780,30,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,37
2019-09-10,81,33,4893,113,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,38
2019-09-10,84,35,5075,182,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,39
2019-09-10,85,25,5125,50,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,40
2019-09-10,87,19,5239,114,5,8.14,49.5*49*26.5,49.50,49.00,26.50,64275.75,24,41
