"";"time_seconds";"team_size";"item_weight";"item_volume";"palette_quantity";"palette_number";"item_time"
"178";121;5;8,14;64275,75;24;27;5,04166666666667
"179";225;5;8,14;64275,75;24;28;9,375
"180";172;5;8,14;64275,75;24;29;7,16666666666667
"181";112;5;8,14;64275,75;24;30;4,66666666666667
"182";139;5;8,14;64275,75;24;31;5,79166666666667
"183";78;5;8,14;64275,75;24;32;3,25
"184";130;5;8,14;64275,75;24;33;5,41666666666667
"185";65;5;8,14;64275,75;24;34;2,70833333333333
"186";177;5;8,14;64275,75;24;35;7,375
"187";183;5;8,14;64275,75;24;36;7,625
"188";42;5;8,14;64275,75;24;37;1,75
"189";244;5;8,14;64275,75;24;38;10,1666666666667
"190";5;5;8,14;64275,75;24;39;0,208333333333333
"191";163;5;8,14;64275,75;24;40;6,79166666666667
"192";20;5;8,14;64275,75;24;41;0,833333333333333
"193";255;5;8,14;64275,75;24;42;10,625
"194";10;5;8,14;64275,75;24;43;0,416666666666667
"195";180;5;8,14;64275,75;24;1;7,5
"196";145;5;8,14;64275,75;24;2;6,04166666666667
"197";125;5;8,14;64275,75;24;3;5,20833333333333
"198";210;5;8,14;64275,75;24;4;8,75
"199";43;5;8,14;64275,75;24;5;1,79166666666667
"200";237;5;8,14;64275,75;24;6;9,875
"201";42;5;8,14;64275,75;24;7;1,75
"202";147;5;8,14;64275,75;24;8;6,125
"203";100;5;8,14;64275,75;24;9;4,16666666666667
"204";106;5;8,14;64275,75;24;10;4,41666666666667
"205";170;5;8,14;64275,75;24;11;7,08333333333333
"206";72;5;8,14;64275,75;24;12;3
"207";137;5;8,14;64275,75;24;13;5,70833333333333
"208";91;5;8,14;64275,75;24;14;3,79166666666667
"209";160;5;8,14;64275,75;24;15;6,66666666666667
"210";58;5;8,14;64275,75;24;16;2,41666666666667
"211";237;5;8,14;64275,75;24;17;9,875
"212";58;5;8,14;64275,75;24;18;2,41666666666667
"213";262;5;8,14;64275,75;24;19;10,9166666666667
"214";85;5;8,14;64275,75;24;20;3,54166666666667
"215";245;5;8,14;64275,75;24;21;10,2083333333333
"216";10;5;8,14;64275,75;24;22;0,416666666666667
"217";250;5;8,14;64275,75;24;23;10,4166666666667
"218";20;5;8,14;64275,75;24;24;0,833333333333333
"219";190;5;8,14;64275,75;24;25;7,91666666666667
"220";15;5;8,14;64275,75;24;26;0,625
"221";215;5;8,14;64275,75;24;27;8,95833333333333
"222";75;5;8,14;64275,75;24;28;3,125
"223";59;5;8,14;64275,75;24;29;2,45833333333333
"224";86;5;8,14;64275,75;24;30;3,58333333333333
"225";312;5;8,14;64275,75;24;31;13
"226";48;5;8,14;64275,75;24;32;2
"227";201;5;8,14;64275,75;24;33;8,375
"228";129;5;8,14;64275,75;24;34;5,375
"229";47;5;8,14;64275,75;24;35;1,95833333333333
"230";183;5;8,14;64275,75;24;36;7,625
"231";30;5;8,14;64275,75;24;37;1,25
"232";113;5;8,14;64275,75;24;38;4,70833333333333
"233";182;5;8,14;64275,75;24;39;7,58333333333333
"234";50;5;8,14;64275,75;24;40;2,08333333333333
"235";114;5;8,14;64275,75;24;41;4,75
